task_id,team,role,user_id,task_name,description,priority,expected_duration,completion_time
1,Engineering,Backend Engineer,64,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,7,7.37
2,Operations,Operations Associate,69,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,4,8.36
3,Marketing,SEO Specialist,143,Write blog post,Write blog post for marketing team by seo specialist.,Low,8,12.64
4,Engineering,QA Engineer,198,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,7,8.78
5,Engineering,QA Engineer,119,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,4,2.84
6,Engineering,Frontend Engineer,57,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,1,0.5
7,Engineering,Data Engineer,88,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,7,7.1
8,Engineering,Data Engineer,27,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,1,2.26
9,Customer Support,Support Agent,14,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,4,4.77
10,Marketing,Content Writer,152,Write blog post,Write blog post for marketing team by content writer.,Low,6,7.59
11,Customer Support,Support Agent,141,Escalate request,Escalate request for customer support team by support agent.,Low,6,7.37
12,Marketing,SEO Specialist,152,Email campaign setup,Email campaign setup for marketing team by seo specialist.,Medium,7,6.93
13,Operations,Operations Associate,66,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,4,0.5
14,Finance,Financial Analyst,28,Invoice processing,Invoice processing for finance team by financial analyst.,Low,7,5.57
15,Customer Support,Support Agent,25,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,8,6.65
16,Finance,Accountant,42,Invoice processing,Invoice processing for finance team by accountant.,Low,1,0.5
17,Engineering,Frontend Engineer,118,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,6,10.89
18,Customer Support,Support Agent,139,Escalate request,Escalate request for customer support team by support agent.,Low,7,8.37
19,Marketing,Content Writer,28,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,8,8.52
20,Engineering,Backend Engineer,104,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,8,7.51
21,Finance,Accountant,126,Create budget forecast,Create budget forecast for finance team by accountant.,Low,7,2.71
22,Engineering,Frontend Engineer,54,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,5,7.6
23,Engineering,Data Engineer,28,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,6,7.71
24,Finance,Financial Analyst,104,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,5,6.91
25,Marketing,Content Writer,101,Competitor research,Competitor research for marketing team by content writer.,Low,3,10.44
26,Customer Support,Support Agent,189,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,3,5.87
27,Operations,Logistics Coordinator,9,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,6,8.86
28,Engineering,Frontend Engineer,187,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,6,13.9
29,Engineering,Frontend Engineer,15,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,4,0.5
30,Engineering,Backend Engineer,114,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,4,1.62
31,Marketing,Social Media Manager,73,Ad campaign optimization,Ad campaign optimization for marketing team by social media manager.,Medium,4,7.05
32,Customer Support,Support Agent,78,Escalate request,Escalate request for customer support team by support agent.,Low,8,9.78
33,Engineering,QA Engineer,45,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,2,0.88
34,Engineering,Backend Engineer,29,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,2,0.5
35,Finance,Accountant,136,Variance analysis,Variance analysis for finance team by accountant.,Medium,4,8.51
36,Marketing,Social Media Manager,13,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,3,0.5
37,Operations,Logistics Coordinator,196,Process documentation,Process documentation for operations team by logistics coordinator.,Low,4,2.54
38,Engineering,Backend Engineer,151,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,1,0.5
39,Marketing,Content Writer,95,Keyword research,Keyword research for marketing team by content writer.,Low,2,0.74
40,Marketing,Social Media Manager,91,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,3,2.78
41,Engineering,Data Engineer,1,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,1,6.4
